"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: GateState","Run 1: Distance (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
0,1,0,,,0.096684,1,0,,
0.022455,0,,,,0.131607,0,,,
0.59849,1,0.05,0.0836649262849,0.000405492478651,0.755179,1,0.05,0.0758150207178,-0.000351407657008
0.621019,0,,,,0.790112,0,,,
1.195249,1,0.1,0.0839434170371,0.000527851642371,1.41569,1,0.1,0.0755819259393,-0.000354393695253
1.21821,0,,,,1.450826,0,,,
1.789777,1,0.15,0.0840623279093,-0.000127833906458,2.078253,1,0.15,0.0753462853405,-0.000356906509612
1.812931,0,,,,2.113474,0,,,
2.384843,1,0.2,0.083814291597,-0.000705809125825,2.742902,1,0.2,0.0751129827291,-0.000345126026078
2.407952,0,,,,2.778215,0,,,
2.982906,1,0.25,0.0834411863049,-0.000541903212328,3.409587,1,0.25,0.074869681802,-0.000384756683408
3.005984,0,,,,3.445063,0,,,
3.583301,1,0.3,0.0832087760989,-0.000232287798585,4.078564,1,0.3,0.0746272689829,-0.000339970232589
3.606424,0,,,,4.114085,0,,,
4.184704,1,0.35,0.0831175159155,-7.12031499391E-05,4.749586,1,0.35,0.0743898406822,-0.000367691515348
4.207972,0,,,,4.785209,0,,,
4.786417,1,0.4,0.0830497702794,-0.000153972759954,5.422841,1,0.4,0.0741400761341,-0.000374269697277
4.80978,0,,,,5.458621,0,,,
5.388802,1,0.45,0.0829086447042,-0.000314583313637,6.098392,1,0.45,0.0738899844673,-0.000366138256669
5.412082,0,,,,6.134298,0,,,
5.992567,1,0.5,0.0827914751212,-7.35464487225E-05,6.776212,1,0.5,0.0736462273448,-0.000353100250438
6.015837,0,,,,6.812255,0,,,
6.596656,1,0.55,0.0828043813009,0.000116275846967,7.456242,1,0.55,0.0733965172718,-0.000381308740291
6.620068,0,,,,7.492479,0,,,
7.200233,1,0.6,0.0827428461841,-0.000320177310281,8.138683,1,0.6,0.0731441499498,-0.000358293136055
7.223621,0,,,,8.175074,0,,,
7.805223,1,0.65,0.0825074920385,-0.000457865783604,8.823413,1,0.65,0.0729031549418,-0.000345619378301
7.828526,0,,,,8.859918,0,,,
8.412251,1,0.7,0.0822974698022,-0.000234103075188,9.510373,1,0.7,0.0726324077094,-0.000442628066625
8.43555,0,,,,9.54699,0,,,
9.020329,1,0.75,0.0823735258737,0.000484255428792,10.200221,1,0.75,0.0723858046469,-0.000272320914941
9.043753,0,,,,10.236688,0,,,
9.626241,1,0.8,0.0825904150409,0.000231654364199,10.891864,1,0.8,0.0721491793449,-0.000411920238294
9.649329,0,,,,10.928592,0,,,
10.231125,1,0.85,0.0826354236468,-8.28370510082E-05,11.586249,1,0.85,0.0718873475188,-0.000342219975473
10.253992,0,,,,11.623036,0,,,
10.836376,1,0.9,0.0824911724079,-0.000393828791357,12.282937,1,0.9,0.0716411818927,-0.000364453961957
10.859374,0,,,,12.319991,0,,,
11.443381,1,0.95,0.0822331176164,-0.000456427109385,12.982103,1,0.95,0.0713843257444,-0.000370296149811
11.466556,0,,,,13.019235,0,,,
12.052438,1,1,0.0820291741148,-0.000213275403029,13.683814,1,1,0.071118259395,-0.00038803982998
12.075691,0,,,,13.72112,0,,,
12.662461,1,1.05,0.0820049625729,0.000133896291489,14.388222,1,1.05,0.0708524604784,-0.000366633361111
12.685922,0,,,,14.425583,0,,,
13.271877,1,1.1,0.0820870207972,0.00013540488961,15.095207,1,1.1,0.0705516534346,-0.000484323996767
13.295287,0,,,,15.132736,0,,,
13.880681,1,1.15,0.0821341077659,1.92819016776E-05,15.80564,1,1.15,0.0694637607036,-0.00257829480323
13.903879,0,,,,15.843481,0,,,
14.489398,1,1.2,0.08213714294,-9.30953643461E-06,16.535321,1,1.2,0.0665385017902,-0.00543961689625
14.51265,0,,,,16.574978,0,,,
15.098157,1,1.25,0.0821828317202,0.00015941419251,17.311384,1,1.25,,
15.121598,0,,,,17.354315,0,,,
15.706198,1,1.3,0.0824417758685,0.000692318333131,,,,,
15.729266,0,,,,,,,,
16.31115,1,1.35,0.0827018294517,0.000167431145257,,,,,
16.334131,0,,,,,,,,
16.915362,1,1.4,0.0827676222622,5.0349403476E-05,,,,,
16.93847,0,,,,,,,,
17.519352,1,1.45,0.082729477547,-0.000176658498504,,,,,
17.542561,0,,,,,,,,
18.124122,1,1.5,0.0825858553231,-0.000298306277955,,,,,
18.147474,0,,,,,,,,
18.730216,1,1.55,0.0824059146233,-0.000295465314496,,,,,
18.753575,0,,,,,,,,
19.33763,1,1.6,0.0823245166939,2.74506510912E-05,,,,,
19.361037,0,,,,,,,,
19.944921,1,1.65,0.0823948131967,0.000204057811174,,,,,
19.968425,0,,,,,,,,
20.5513,1,1.7,0.0824195405528,-0.000122500382279,,,,,
20.57478,0,,,,,,,,
21.158226,1,1.75,0.0823039313928,-0.000258465863889,,,,,
21.181593,0,,,,,,,,
21.766311,1,1.8,0.0821096162655,-0.000380639285457,,,,,
21.789678,0,,,,,,,,
22.376115,1,1.85,0.0818967563978,-0.000317486235753,,,,,
22.399521,0,,,,,,,,
22.987364,1,1.9,0.0818123100779,4.11788066143E-05,,,,,
23.010805,0,,,,,,,,
23.598425,1,1.95,0.0820885272115,0.000862878672476,,,,,
23.621618,0,,,,,,,,
24.205586,1,2,0.0823821870014,0.000104442317869,,,,,
24.228581,0,,,,,,,,
24.81228,1,2.05,0.0823659333256,-0.000158023450558,,,,,
24.835551,0,,,,,,,,
25.419681,1,2.1,0.0823118442607,-2.00765685675E-05,,,,,
25.443084,0,,,,,,,,
26.027172,1,2.15,0.0822675925528,-0.000125610224905,,,,,
26.050758,0,,,,,,,,
26.635227,1,2.2,0.0821145333016,-0.000377828612592,,,,,
26.65872,0,,,,,,,,
27.244988,1,2.25,0.0819073994717,-0.000301564887151,,,,,
27.26846,0,,,,,,,,
27.856121,1,2.3,0.081737358707,-0.000254912228991,,,,,
27.879584,0,,,,,,,,
28.468421,1,2.35,0.081847856598,0.000615839522893,,,,,
28.491521,0,,,,,,,,
29.077913,1,2.4,0.0821334629375,0.000321355188258,,,,,
29.101084,0,,,,,,,,
29.685955,1,2.45,,,,,,,
29.709476,0,,,,,,,,
